Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
1,"Oh my God, hes lost it. Hes totally lost it.",Phoebe,sadness,negative,0,0,4,7,"00:20:57,256","00:21:00,049"
2,What?,Monica,surprise,negative,0,1,4,7,"00:21:01,927","00:21:03,261"
3,"Or! Or, we could go to the bank, close our accounts and cut them off at the source.",Ross,neutral,neutral,1,0,4,4,"00:12:24,660","00:12:30,915"
4,Youre a genius!,Chandler,joy,positive,1,1,4,4,"00:12:32,334","00:12:33,960"
5,"Aww, man, now we wont be bank buddies!",Joey,sadness,negative,1,2,4,4,"00:12:34,211","00:12:37,505"
6,"Now, theres two reasons.",Chandler,neutral,neutral,1,3,4,4,"00:12:38,466","00:12:39,841"
7,Hey.,Phoebe,neutral,neutral,1,4,4,4,"0:12:43,012","0:12:44,074"
8,Hey!,All,joy,positive,1,5,4,4,"0:12:44,074","0:12:45,189"
9,"Ohh, you guys, remember that cute client I told you about? I bit him.",Phoebe,neutral,neutral,1,6,4,4,"00:12:45,347","00:12:50,852"
10,Where?!,Rachel,surprise,negative,1,7,4,4,"0:12:52,730","0:12:55,002"
11,On the touchy.,Phoebe,neutral,neutral,1,8,4,4,"0:12:55,002","0:12:55,824"
12,And,Ross,neutral,neutral,1,9,4,4,"00:12:56,025","00:12:58,193"
13,"No, I know!",Phoebe,surprise,negative,1,10,4,4,"00:12:59,195","00:13:01,863"
14,"I-Im sorry, but the moment I touch him, I just wanna throw out my old oath and take a new, dirty one.",Phoebe,anger,negative,1,11,4,4,"00:12:59,195","00:13:10,163"
15,"Well, next time your massaging him, you should try and distract yourself.",Monica,neutral,neutral,1,12,4,4,"00:13:07,495","00:13:16,044"
16,Yeah! Yeah! Yeah! Like-like when Im doing something exciting and I dont wanna get,Joey,joy,positive,1,13,4,4,"00:13:10,372","00:13:17,712"
17,"Thank you, Joey.",Chandler,neutral,neutral,1,14,4,4,"0:13:29,391","0:13:30,483"
18,"No-no, thank you.",Joey,neutral,neutral,1,15,4,4,"0:13:30,483","0:13:31,611"
19,"Hey Estelle, listen",Joey,neutral,neutral,2,0,6,4,"00:08:53,241","00:08:57,224"
20,Well! Well! Well! Joey Tribbiani! So you came back huh? They,Estelle,surprise,positive,2,1,6,4,"00:08:53,241","00:09:01,206"
21,What are you talkin about? I never left you! Youve always been my agent!,Joey,surprise,negative,2,2,6,4,"00:09:08,548","00:09:13,476"
22,Really?!,Estelle,surprise,positive,2,3,6,4,"0:09:13,594","0:09:14,476"
23,Yeah!,Joey,joy,positive,2,4,6,4,"0:09:14,476","0:09:15,728"
24,"Oh well, no harm, no foul.",Estelle,neutral,neutral,2,5,6,4,"00:09:16,138","00:09:19,224"
25,"Okay, you guys free tonight?",Gary,neutral,neutral,3,0,5,20,"0:01:00,894","0:01:02,271"
26,Yeah!!,Ross,joy,positive,3,1,5,20,"0:01:02,271","0:01:03,961"
27,Tonight? You-you didn't say it was going to be at nighttime.,Chandler,surprise,negative,3,2,5,20,"00:01:04,731","00:01:07,608"
28,Yes? Yes?! How can I help you?,Ross,neutral,neutral,4,0,7,7,"00:14:33,289","00:14:36,040"
29,"Yeah, we werewe were just looking around.",Guy,neutral,neutral,4,1,7,7,"00:14:36,208","00:14:38,001"
30,"Oh-oh, youre-youre fellow scholars.",Ross,surprise,negative,4,2,7,7,"00:14:38,210","00:14:40,587"
31,"What exactly were you looking for, hmm?",Ross,neutral,neutral,4,3,7,7,"00:14:40,754","00:14:43,256"
32,"Perhaps,  perhaps Dr. Chester Stocks musings on the Smiledon Californicus?",Ross,neutral,neutral,4,4,7,7,"00:14:43,424","00:14:50,597"
33,Uhh.,Guy,neutral,neutral,4,5,7,7,"00:14:51,932","00:14:53,099"
34,"Ah AhGet out of here!  Uh, meeting someone? Or-or are you just here to brush up on Marions views on evolution?",Ross,anger,negative,4,6,7,7,"00:14:51,932","00:15:11,743"
35,"Uh, actually I find Marions views far too progressionist.",Woman,neutral,neutral,4,7,7,7,"00:15:12,036","00:15:16,623"
36,I find Marions views far too progressionist.,Ross,neutral,neutral,4,8,7,7,"00:15:21,253","00:15:24,547"
37,"Im sorry, who are you?",Woman,surprise,positive,4,9,7,7,"00:15:24,798","00:15:27,967"
38,"Im a professor here uh, RossGeller.",Ross,neutral,neutral,4,10,7,7,"00:15:28,177","00:15:30,386"
39,"Ross Geller, why do I know that name? Its uhWait!  Did you write this?",Woman,surprise,positive,4,11,7,7,"00:15:30,638","00:15:41,022"
40,Yes! Youre the person who checked out my book?!,Ross,surprise,positive,4,12,7,7,"00:15:41,899","00:15:50,490"
41,"Yknow, you look nothing like I wouldve thought. Youreyoure so young.",Woman,surprise,positive,4,13,7,7,"00:15:56,830","00:15:58,311"
42,"Well I uh, I skipped forth grade.",Ross,neutral,neutral,4,14,7,7,"00:15:59,500","00:16:03,544"
43,You had no right to tell me you ever had feelings for me.,Ross,anger,negative,5,0,2,7,"00:18:28,565","00:18:31,234"
44,What?,Rachel,surprise,negative,5,1,2,7,"00:18:31,693","00:18:33,528"
45,I was doing great with Julie before I found out about you.,Ross,anger,negative,5,2,2,7,"00:18:31,693","00:18:35,196"
46,"Hey, I was doin' great before I found out about you. You think it's easy for me to see you with Julie?",Rachel,anger,negative,5,3,2,7,"00:18:35,364","00:18:39,951"
47,The point is I...,Ross,anger,negative,5,4,2,7,"0:19:12,818","0:19:14,030"
48,"I don't need this right now, OK.",Ross,anger,negative,5,5,2,7,"0:19:14,030","0:19:15,699"
49,"It, it's too late, I'm with somebody else, I'm happy.",Ross,anger,negative,5,6,2,7,"00:19:15,821","00:19:20,741"
50,This ship has sailed.,Ross,anger,negative,5,7,2,7,"00:19:17,781","00:19:20,741"
51,"Alright, fine, you go ahead and you do that, alright Ross.",Rachel,anger,negative,5,8,2,7,"0:19:27,166","0:19:29,588"
52,Fine.,Ross,anger,negative,5,9,2,7,"0:19:29,588","0:19:29,727"
53,Cause I don't need your stupid ship.,Rachel,anger,negative,5,10,2,7,"00:19:29,835","00:19:31,210"
54,Good.,Ross,anger,negative,5,11,2,7,"0:19:31,378","0:19:32,440"
55,Good.,Rachel,anger,negative,5,12,2,7,"0:19:32,440","0:19:33,256"
56,"Oh, it's so romantic to send people off on their honeymoon.",Phoebe,joy,positive,6,0,8,3,"00:03:10,273","00:03:14,610"
57,"Yknow, Monica and Chandler are married. Ross and Rachel are having a baby. Maybe you and I should do something.",Joey,neutral,neutral,6,1,8,3,"00:03:14,861","00:03:25,120"
58,All in good time my love.,Phoebe,neutral,neutral,6,2,8,3,"0:03:19,032","0:03:22,044"
59,All in good time.,Phoebe,neutral,neutral,6,3,8,3,"0:03:22,044","0:03:25,177"
60,Oh shoot!,Phoebe,surprise,negative,6,4,8,3,"0:03:26,247","0:03:27,415"
61,I left my guitar in their apartment.,Phoebe,sadness,negative,6,5,8,3,"0:03:27,415","0:03:29,417"
62,Well you can let me in later.,Phoebe,neutral,neutral,6,6,8,3,"0:03:29,417","0:03:31,086"
63,"I dont have a key, they took mine to give to you.",Joey,neutral,neutral,6,7,8,3,"0:03:31,211","0:03:33,589"
64,What?! They took mine to give to you!,Phoebe,surprise,negative,6,8,8,3,"0:03:33,589","0:03:33,746"
65,Why would they take away our keys?,Joey,surprise,negative,6,9,8,3,"00:03:33,880","00:03:38,884"
66,Wow! It looks like we got a lot of good stuff.,Ross,joy,positive,7,0,8,20,"00:15:01,722","00:15:03,557"
67,"Oh we did, but my mom got us the greatest gift of all.",Rachel,joy,positive,7,1,8,20,"00:15:03,724","00:15:06,560"
68,A,Ross,neutral,neutral,7,2,8,20,"00:15:06,769","00:15:08,729"
69,No. Shes going to live with us for eight weeks.,Rachel,neutral,neutral,7,3,8,20,"00:15:09,897","00:15:14,026"
70,"Uh, what?",Ross,surprise,positive,7,4,8,20,"00:15:14,276","00:15:15,672"
71,Yes! Shes gonna help us take care of the baby! Woo-hoo.,Rachel,joy,positive,7,5,8,20,"00:15:15,861","00:15:19,656"
72,WhatYoure not serious.,Ross,surprise,negative,7,6,8,20,"00:15:20,574","00:15:22,743"
73,"I mean shes a very nice woman, but there is no way we can take eight weeks of her.",Ross,anger,negative,7,7,8,20,"00:15:22,910","00:15:27,247"
74,Shell drive us totally crazy.,Ross,disgust,negative,7,8,8,20,"0:15:27,414","0:15:28,999"
75,Hi Ross!,Mrs. Green,joy,positive,7,9,8,20,"0:15:28,999","0:15:29,508"
76,Hi roomie!,Ross,joy,positive,7,10,8,20,"00:15:29,625","00:15:31,835"
77,Hey! What did you decide to do about the movie?,Monica,neutral,neutral,8,0,7,19,"00:03:17,697","00:03:20,199"
78,I dont know!,Joey,neutral,neutral,8,1,7,19,"00:03:20,366","00:03:22,743"
79,Its not like its porn!,Joey,neutral,neutral,8,2,7,19,"0:03:23,119","0:03:24,621"
80,"This is a serious, legitimate movie.",Joey,neutral,neutral,8,3,7,19,"0:03:24,621","0:03:27,226"
82,And the nudity is really important to the story.,Joey,neutral,neutral,8,4,7,19,"00:03:27,332","00:03:29,750"
83,Thats what you say about porn.,Monica,neutral,neutral,8,5,7,19,"00:03:29,918","00:03:32,085"
84,Youre right. Maybe I shouldnt even go on the call back.,Joey,neutral,neutral,8,6,7,19,"00:03:33,004","00:03:35,339"
85,"No! No you should! A lot of major actors do nude scenes! I mean, the chance to star in a movie? Come on!",Monica,joy,positive,8,7,7,19,"00:03:35,506","00:03:42,304"
86,Well thats true.,Joey,neutral,neutral,8,8,7,19,"0:03:42,972","0:03:44,015"
87,And I am only naked in one scene.,Joey,neutral,neutral,8,9,7,19,"0:03:44,015","0:03:46,777"
88,Plus it sounds really great.,Joey,neutral,neutral,8,10,7,19,"0:03:46,777","0:03:48,325"
89,My characters catholic and he falls in love with this Jewish girl.,Joey,neutral,neutral,8,11,7,19,"00:03:48,394","00:03:51,480"
90,Who run away together and they get caught in this big rainstorm.,Joey,neutral,neutral,8,12,7,19,"00:03:51,648","00:03:54,316"
91,So we go into this barn and undress each other and hold each other.,Joey,neutral,neutral,8,13,7,19,"00:03:54,484","00:03:58,028"
92,Its really sweet and-and tender.,Joey,joy,positive,8,14,7,19,"00:03:58,196","00:04:01,240"
93,"Hey, whats up?",Joey,neutral,neutral,9,0,6,3,"00:05:22,280","00:05:23,905"
94,"Nothing, Monica and I had a stupid fight.",Chandler,sadness,negative,9,1,6,3,"00:05:24,073","00:05:26,199"
95,"But youre still moving in together, right? Because my ad came out today.",Joey,neutral,neutral,9,2,6,3,"00:05:26,367","00:05:29,786"
96,"""Wanted. Female roommate, non-smoker, non-ugly."" Nice!",Chandler,joy,positive,9,3,6,3,"00:05:30,872","00:05:34,291"
97,Yeah?,Joey,neutral,neutral,9,4,6,3,"00:05:37,211","00:05:38,712"
98,"I just figured yknow, after living with you itd be an interesting change of pace to have a female roommate, yknow?",Joey,neutral,neutral,9,5,6,3,"00:05:38,880","00:05:43,508"
99,"Someone I can learn from, someone-someone whos different than me.",Joey,neutral,neutral,9,6,6,3,"00:05:43,676","00:05:47,304"
100,And whats more different than me. A guy whos,Joey,neutral,neutral,9,7,6,3,"00:05:47,472","00:05:51,141"
101,So where are we going next?,Ross,neutral,neutral,10,0,5,20,"00:06:52,412","00:06:53,412"
102,This witness won't return my calls so we're gonna see if we can surprise him coming home.,Gary,neutral,neutral,10,1,5,20,"00:06:53,579","00:06:56,915"
103,"Sur-surprise him? We're not, we're not gonna make anybody mad are we?",Chandler,fear,negative,10,2,5,20,"00:06:57,125","00:07:00,752"
104,"Come on man!  Listen so uh, are you gonna squeeze the perps shoes a little bit before he lawyers up?",Joey,joy,positive,10,3,5,20,"00:07:01,254","00:07:07,342"
105,It's a witness not a perp. And no one talks like that!,Gary,anger,negative,10,4,5,20,"0:07:07,593","0:07:10,096"
106,"Yeah, no one talks like that!",Ross,anger,negative,10,5,5,20,"0:07:10,096","0:07:10,240"
107,Oh what? Like your Mr. Cop!,Joey,anger,negative,10,6,5,20,"0:07:14,475","0:07:16,237"
108,"Hey, I'm more cop than you two!",Ross,anger,negative,10,7,5,20,"0:07:16,237","0:07:18,231"
109,How do you figure that?,Chandler,neutral,neutral,10,8,5,20,"00:07:18,438","00:07:20,063"
110,"Hello! I'm in the front seat, okay? I'm Gary's partner!",Ross,neutral,neutral,10,9,5,20,"00:07:20,273","00:07:25,610"
111,I guess so.,Phoebe,neutral,neutral,11,0,5,19,"00:05:29,287","00:05:30,412"
112,Here you go. Thank you!,Rachel,neutral,neutral,11,1,5,19,"0:05:34,459","0:05:36,879"
113,"Wait, Rach! Where's the other one?",Phoebe,neutral,neutral,11,2,5,19,"0:05:36,879","0:05:37,038"
114,"Oh what, you-you want both of them?",Rachel,surprise,positive,11,3,5,19,"00:05:37,503","00:05:40,172"
115,"Rachel Karen Green, where's the other earring?!",Phoebe,anger,negative,11,4,5,19,"00:05:40,590","00:05:43,050"
116,"Okay, okay, okay, look, just don't freak out, but I kinda lost it.",Rachel,fear,negative,11,5,5,19,"00:05:43,259","00:05:46,261"
117,"I know it's in the apartment, but I",Rachel,neutral,neutral,11,6,5,19,"00:05:46,429","00:05:49,973"
118,"Well, what am I going to tell Monica? She wants to wear them tonight!",Phoebe,fear,negative,11,7,5,19,"00:05:50,183","00:05:53,518"
119,Tell her to wear her own earrings.,Rachel,anger,negative,11,8,5,19,"0:05:53,728","0:05:57,065"
120,These,Phoebe,neutral,neutral,11,9,5,19,"0:05:57,065","0:05:57,211"
121,Nooo! Nooooo! You lent me Monica's earrings?! I'm not allowed to borrow her stuff!,Rachel,anger,negative,11,10,5,19,"00:05:57,315","00:06:03,570"
